,ID,Date,Type,Assets,Short-term liabilities,Long-term liabilities,Liabilities,Equity,Name,DP,Month
0,2,2005-01-01,A,15534422530.0,6283755633.0,2946219354.0,9229974988.0,6304447542.0,G 万科A,7756865310.0,01
1,2,2005-03-31,A,18099562461.0,7772033053.0,3666208285.0,11438241338.0,6661321123.0,万科A,9605137196.0,03
2,2,2005-06-30,A,18878575570.0,8116669125.0,3864836920.0,11981506046.0,6897069525.0,万科A,10049087586.0,06
3,2,2005-09-30,A,21198362007.0,10267279550.0,3922246109.0,14189525660.0,7008836347.0,万科A,12228402605.0,09
4,2,2005-12-31,A,21992392061.0,10859763002.0,2551405831.0,13411168833.0,8581223228.0,G 万科A,12135465918.0,12
5,2,2006-01-01,A,21992392061.0,10859763002.0,2551405831.0,13411168833.0,8581223228.0,万科A,12135465918.0,01
6,2,2006-03-31,A,24272615067.0,12833694415.0,1226987895.0,14060682310.0,10211932758.0,G 万科A,13447188362.0,03
7,2,2006-06-30,A,28727821155.0,13536173727.0,3574645444.0,17110819170.0,11617001985.0,G 万科A,15323496448.0,06
8,2,2006-09-30,A,42245109714.0,24709113072.0,5760609268.0,30469722340.0,11775387375.0,G 万科A,27589417706.0,09
9,2,2006-12-31,A,48507917571.0,21884969699.0,9616951736.0,31501921435.0,17005996136.0,万科A,26693445567.0,12
10,2,2007-01-01,A,49919840381.0,22016270596.0,10450066238.0,32466336834.0,17453503547.0,万科A,27241303715.0,01
11,2,2007-03-31,A,50178579911.0,19835147047.0,12392222567.0,32227369614.0,17951210297.0,万科A,26031258331.0,03
12,2,2007-06-30,A,63670342454.0,29502216292.0,15930735855.0,45432952147.0,18237390307.0,万科A,37467584219.0,06
13,2,2007-09-30,A,95027325210.0,45150393933.0,20420705044.0,65571098977.0,29456226233.0,万科A,55360746455.0,09
14,2,2007-12-31,A,100094000000.0,48773983644.0,17400961235.0,66174944879.0,33919523029.0,万科A,57474464262.0,12
15,2,2008-01-01,A,100094000000.0,48773983644.0,17400961235.0,66174944879.0,33919523029.0,万科A,57474464262.0,01
16,2,2008-03-31,A,106060000000.0,53059884249.0,17520500733.0,70580384982.0,35479856285.0,万科A,61820134616.0,03
17,2,2008-06-30,A,111101000000.0,60622182595.0,14656055796.0,75278238391.0,35823003455.0,万科A,67950210493.0,06
18,2,2008-09-30,A,121465000000.0,67961030407.0,16652594571.0,84613624978.0,36851653028.0,万科A,76287327693.0,09
19,2,2008-12-31,A,119237000000.0,64553721903.0,15864308337.0,80418030240.0,38818549481.0,万科A,72485876071.0,12
20,2,2009-01-01,A,119237000000.0,64553721903.0,15864308337.0,80418030240.0,38818549481.0,万科A,72485876071.0,01
21,2,2009-03-31,A,124834000000.0,66263834334.0,18837708792.0,85101543125.0,39732353198.0,万科A,75682688729.0,03
22,2,2009-06-30,A,124520000000.0,62638612949.0,20076374050.0,82714986999.0,41804941695.0,万科A,72676799974.0,06
23,2,2009-09-30,A,129503000000.0,62865226541.0,24273132922.0,87138359463.0,42364149719.0,万科A,75001793002.0,09
24,2,2009-12-31,A,137609000000.0,68058279849.0,24141762526.0,92200042375.0,45408512454.0,万科A,80129161112.0,12
25,2,2010-01-01,A,137609000000.0,68058279849.0,24141762526.0,92200042375.0,45408512454.0,万科A,80129161112.0,01
26,2,2010-03-31,A,148396000000.0,77734839278.0,23267605891.0,101002000000.0,47393510587.0,万科A,89368642224.0,03
27,2,2010-06-30,A,160513000000.0,85884688461.0,26208167313.0,112093000000.0,48419808778.0,万科A,98988772118.0,06
28,2,2010-09-30,A,187935000000.0,108691000000.0,29907521776.0,138599000000.0,49336733183.0,万科A,123645000000.0,09
29,2,2010-12-31,A,215638000000.0,129651000000.0,31400560601.0,161051000000.0,54586199642.0,万科A,145351000000.0,12
30,2,2011-01-01,A,215638000000.0,129651000000.0,31400560601.0,161051000000.0,54586199642.0,万科A,145351000000.0,01
31,2,2011-03-31,A,235359000000.0,151807000000.0,27422148920.0,179230000000.0,56129244459.0,万科A,165519000000.0,03
32,2,2011-06-30,A,260960000000.0,172594000000.0,30558382250.0,203153000000.0,57807482627.0,万科A,187874000000.0,06
33,2,2011-09-30,A,283206000000.0,194654000000.0,28997895441.0,223652000000.0,59553752172.0,万科A,209153000000.0,09
34,2,2011-12-31,A,296208000000.0,200724000000.0,27651741168.0,228376000000.0,67832538547.0,万科A,214550000000.0,12
