Unnamed: 0,ID,Date,Type,Assets,Short-term liabilities,Long-term liabilities,Liabilities,Equity,Name,DP,Month,r,g,IV
1,2,2005-03-31,A,18099562461.0,7772033053.0,3666208285.0,11438241338.0,6661321123.0,万科A,9605137196.0,3,0.0334,-4.51%,0.37243964129285373
2,2,2005-06-30,A,18878575570.0,8116669125.0,3864836920.0,11981506046.0,6897069525.0,万科A,10049087586.0,6,0.036,9.33%,0.36385913724425023
3,2,2005-09-30,A,21198362007.0,10267279550.0,3922246109.0,14189525660.0,7008836347.0,万科A,12228402605.0,9,0.0331,16.87%,0.3502309527760365
4,2,2005-12-31,A,21992392061.0,10859763002.0,2551405831.0,13411168833.0,8581223228.0,G 万科A,12135465918.0,12,0.0367,-13.45%,0.37419403940620927
6,2,2006-03-31,A,24272615067.0,12833694415.0,1226987895.0,14060682310.0,10211932758.0,G 万科A,13447188362.0,3,0.0388,11.83%,0.38056252444284805
7,2,2006-06-30,A,28727821155.0,13536173727.0,3574645444.0,17110819170.0,11617001985.0,G 万科A,15323496448.0,6,0.0389,-10.39%,0.37414423642898836
8,2,2006-09-30,A,42245109714.0,24709113072.0,5760609268.0,30469722340.0,11775387375.0,G 万科A,27589417706.0,9,0.0412,-1.65%,0.286249377936591
9,2,2006-12-31,A,48507917571.0,21884969699.0,9616951736.0,31501921435.0,17005996136.0,万科A,26693445567.0,12,0.0381,5.05%,0.34960140752602503
11,2,2007-03-31,A,50178579911.0,19835147047.0,12392222567.0,32227369614.0,17951210297.0,万科A,26031258331.0,3,0.0355,6.50%,0.3609860730136731
12,2,2007-06-30,A,63670342454.0,29502216292.0,15930735855.0,45432952147.0,18237390307.0,万科A,37467584219.0,6,0.034,-5.48%,0.31238282532336087
13,2,2007-09-30,A,95027325210.0,45150393933.0,20420705044.0,65571098977.0,29456226233.0,万科A,55360746455.0,9,0.0333,-2.81%,0.3342304534750809
14,2,2007-12-31,A,100094000000.0,48773983644.0,17400961235.0,66174944879.0,33919523029.0,万科A,57474464262.0,12,0.0357,-21.04%,0.3488680887038394
16,2,2008-03-31,A,106060000000.0,53059884249.0,17520500733.0,70580384982.0,35479856285.0,万科A,61820134616.0,3,0.035,2.35%,0.34781985240917973
17,2,2008-06-30,A,111101000000.0,60622182595.0,14656055796.0,75278238391.0,35823003455.0,万科A,67950210493.0,6,0.036,6.08%,0.3365551062173341
18,2,2008-09-30,A,121465000000.0,67961030407.0,16652594571.0,84613624978.0,36851653028.0,万科A,76287327693.0,9,0.036,6.34%,0.3217398804339202
19,2,2008-12-31,A,119237000000.0,64553721903.0,15864308337.0,80418030240.0,38818549481.0,万科A,72485876071.0,12,0.0422,-2.26%,0.3217174234581877
21,2,2009-03-31,A,124834000000.0,66263834334.0,18837708792.0,85101543125.0,39732353198.0,万科A,75682688729.0,3,0.0433,2.70%,0.3134131257011315
22,2,2009-06-30,A,124520000000.0,62638612949.0,20076374050.0,82714986999.0,41804941695.0,万科A,72676799974.0,6,0.0455,-1.04%,0.31954213022589845
23,2,2009-09-30,A,129503000000.0,62865226541.0,24273132922.0,87138359463.0,42364149719.0,万科A,75001793002.0,9,0.043,10.49%,0.3206014198173792
