,ID_x,Date,Type_x,Assets,Liabilities,Equity,Short-term liabilities,Long-term liabilities,Name_y,M,Default_Point
0,600727,2005-01-01,A,3334883903.0,1022261905.0,2312621998.0,569761905.0,452500000.0,鲁北化工,01,796011905.0
5,600727,2006-01-01,A,3252244593.0,926929418.2,2325315175.0,676929418.2,250000000.0,鲁北化工,01,801929418.2
10,600727,2007-01-01,A,3003631071.0,821386156.9,2182244915.0,633886156.9,187500000.0,鲁北化工,01,727636156.9
15,600727,2008-01-01,A,2829146995.0,659274554.4,2169872441.0,534274554.4,125000000.0,鲁北化工,01,596774554.4
20,600727,2009-01-01,A,2308248696.0,811911089.0,1496337607.0,749411089.0,62500000.0,鲁北化工,01,780661089.0
25,600727,2010-01-01,A,1482317234.0,490850953.2,991466280.4,490670953.2,180000.0,鲁北化工,01,490760953.2
30,600727,2011-01-01,A,1322253923.0,305284590.4,1016969333.0,305284590.4,0.0,鲁北化工,01,305284590.4
35,600727,2012-01-01,A,1702859763.0,410451919.3,1292407844.0,410451919.3,0.0,鲁北化工,01,410451919.3
1,600727,2005-03-31,A,3274409077.0,958430303.1,2315978774.0,505930303.1,452500000.0,鲁北化工,03,732180303.1
6,600727,2006-03-31,A,3175670473.0,859202813.1,2316467660.0,609202813.1,250000000.0,鲁北化工,03,734202813.1
11,600727,2007-03-31,A,2997777380.0,815201772.8,2182575607.0,627701772.8,187500000.0,鲁北化工,03,721451772.8
16,600727,2008-03-31,A,2836194722.0,664765774.7,2171428948.0,539765774.7,125000000.0,鲁北化工,03,602265774.7
21,600727,2009-03-31,A,2300676716.0,814157950.2,1486518766.0,751657950.2,62500000.0,鲁北化工,03,782907950.2
26,600727,2010-03-31,A,2045441615.0,525969728.0,1519471887.0,525969728.0,0.0,鲁北化工,03,525969728.0
31,600727,2011-03-31,A,1319875708.0,294246767.6,1025628940.0,294246767.6,0.0,鲁北化工,03,294246767.6
36,600727,2012-03-31,A,1409927213.0,358062379.4,1051864834.0,358062379.4,0.0,鲁北化工,03,358062379.4
2,600727,2005-06-30,A,3338024074.0,1011950298.0,2326073776.0,619450297.8,392500000.0,鲁北化工,06,815700297.8
7,600727,2006-06-30,A,3258561636.0,937758515.8,2320803121.0,687758515.8,250000000.0,鲁北化工,06,812758515.8
12,600727,2007-06-30,A,3019609286.0,836722383.1,2182886903.0,649222383.1,187500000.0,鲁北化工,06,742972383.1
17,600727,2008-06-30,A,2998252477.0,815748129.5,2182504348.0,690748129.5,125000000.0,鲁北化工,06,753248129.5
22,600727,2009-06-30,A,2228639168.0,743876029.4,1484763138.0,681376029.4,62500000.0,鲁北化工,06,712626029.4
27,600727,2010-06-30,A,1835482997.0,335111431.5,1500371565.0,335111431.5,0.0,鲁北化工,06,335111431.5
32,600727,2011-06-30,A,1306094974.0,266514603.5,1039580370.0,266514603.5,0.0,鲁北化工,06,266514603.5
37,600727,2012-06-30,A,1315141698.0,303566950.7,1011574748.0,303566950.7,0.0,鲁北化工,06,303566950.7
3,600727,2005-09-30,A,3226979751.0,896357878.1,2330621873.0,503857878.1,392500000.0,鲁北化工,09,700107878.1
8,600727,2006-09-30,A,2925775138.0,761502171.0,2164272967.0,511502171.0,250000000.0,鲁北化工,09,636502171.0
13,600727,2007-09-30,A,2942531223.0,758529683.0,2184001540.0,571029683.0,187500000.0,鲁北化工,09,664779683.0
18,600727,2008-09-30,A,2932465403.0,749599197.4,2182866206.0,624599197.4,125000000.0,鲁北化工,09,687099197.4
23,600727,2009-09-30,A,2056342522.0,579862381.9,1476480140.0,517362381.9,62500000.0,鲁北化工,09,548612381.9
28,600727,2010-09-30,A,1821599062.0,345752084.9,1475846977.0,345752084.9,0.0,鲁北化工,09,345752084.9
33,600727,2011-09-30,A,1284804653.0,240018850.1,1044785803.0,240018850.1,0.0,鲁北化工,09,240018850.1
38,600727,2012-09-30,A,1281103094.0,260713024.7,1020390069.0,260713024.7,0.0,鲁北化工,09,260713024.7
