,ID_x,Date,Type_x,Assets,Liabilities,Equity,Short-term liabilities,Long-term liabilities,Name_y,M,Default_Point
0,600331,2005-01-01,A,2792464189.0,1738603699.0,1053860490.0,1711731461.0,26872237.93,宏达股份,01,1725167579.965
5,600331,2006-01-01,A,4039814413.0,2753185936.0,1286628477.0,2743813698.0,9372237.93,宏达股份,01,2748499816.965
10,600331,2007-01-01,A,5769851693.0,3524340139.0,2245511555.0,3120610960.0,403729179.3,宏达股份,01,3322475549.65
15,600331,2008-01-01,A,7948942903.0,3374826550.0,4574116352.0,2670153017.0,704673533.1,宏达股份,01,3022489783.55
20,600331,2009-01-01,A,7490305302.0,4348240071.0,3142065231.0,3619988220.0,728251850.9,宏达股份,01,3984114145.45
25,600331,2010-01-01,A,8671033859.0,6392454184.0,2278579675.0,5322936267.0,1069517917.0,宏达股份,01,5857695225.5
30,600331,2011-01-01,A,10312067117.0,8278675267.0,2033391851.0,6172337350.0,2106337917.0,宏达股份,01,7225506308.5
35,600331,2012-01-01,A,9472089815.0,7487070144.0,1985019672.0,6757255767.0,729814376.8,宏达股份,01,7122162955.4
1,600331,2005-03-31,A,2886375650.0,1764894596.0,1121481054.0,1738022358.0,26872237.93,宏达股份,03,1751458476.965
6,600331,2006-03-31,A,4619415949.0,2966451241.0,1652964707.0,2707079004.0,259372237.4,宏达股份,03,2836765122.7
11,600331,2007-03-31,A,5839048062.0,3297796732.0,2541251330.0,2483826280.0,813970451.4,宏达股份,03,2890811505.7
16,600331,2008-03-31,A,8479576953.0,3690143846.0,4789433107.0,2983223171.0,706920674.3,宏达股份,03,3336683508.15
21,600331,2009-03-31,A,7395661133.0,4345242941.0,3050418193.0,3632867388.0,712375553.3,宏达股份,03,3989055164.65
26,600331,2010-03-31,A,8720514892.0,6403681342.0,2316833550.0,5144503426.0,1259177917.0,宏达股份,03,5774092384.5
31,600331,2011-03-31,A,10305653195.0,8231730931.0,2073922264.0,5940393015.0,2291337917.0,宏达股份,03,7086061973.5
36,600331,2012-03-31,A,8408088930.0,6386724158.0,2021364772.0,5711719781.0,675004376.8,宏达股份,03,6049221969.4
2,600331,2005-06-30,A,3300215363.0,2108484354.0,1191731010.0,2081612116.0,26872237.93,宏达股份,06,2095048234.965
7,600331,2006-06-30,A,4698364270.0,2753449653.0,1944914617.0,2344077416.0,409372237.9,宏达股份,06,2548763534.95
12,600331,2007-06-30,A,6284128729.0,3661132622.0,2622996108.0,2947356943.0,713775679.0,宏达股份,06,3304244782.5
17,600331,2008-06-30,A,8362783933.0,4747052295.0,3615731638.0,4037674637.0,709377658.1,宏达股份,06,4392363466.05
22,600331,2009-06-30,A,7672644560.0,5555350732.0,2117293827.0,4927344820.0,628005912.5,宏达股份,06,5241347776.25
27,600331,2010-06-30,A,9619242505.0,7637460667.0,1981781837.0,5602892751.0,2034567917.0,宏达股份,06,6620176709.5
32,600331,2011-06-30,A,9872181343.0,7562681562.0,2309499781.0,6641067185.0,921614376.8,宏达股份,06,7101874373.4
37,600331,2012-06-30,A,8224885430.0,6366222960.0,1858662470.0,5442968583.0,923254376.8,宏达股份,06,5904595771.4
3,600331,2005-09-30,A,3498683363.0,2271631890.0,1227051473.0,2244759652.0,26872237.93,宏达股份,09,2258195770.965
8,600331,2006-09-30,A,4914888428.0,2641050966.0,2273837462.0,2231678728.0,409372237.9,宏达股份,09,2436364846.95
13,600331,2007-09-30,A,7913086156.0,3262435747.0,4650650409.0,2546454939.0,715980808.2,宏达股份,09,2904445343.1
18,600331,2008-09-30,A,8163021630.0,4425704628.0,3737317003.0,3715990306.0,709714321.6,宏达股份,09,4070847466.8
23,600331,2009-09-30,A,8161037360.0,5941463037.0,2219574323.0,4973436124.0,968026912.5,宏达股份,09,5457449580.25
28,600331,2010-09-30,A,9825876044.0,7887710739.0,1938165305.0,5618082822.0,2269627917.0,宏达股份,09,6752896780.5
33,600331,2011-09-30,A,9146831202.0,7106400777.0,2040430424.0,6219696401.0,886704376.8,宏达股份,09,6663048589.4
38,600331,2012-09-30,A,8386805648.0,6576447425.0,1810358223.0,5957613048.0,618834376.8,宏达股份,09,6267030236.4
